15,216,2.6837
15,367,2.3255
15,556,3.2681
15,1047,2.7091
15,1131,3.0633
15,1147,3.6299
15,1189,3.3232
15,1201,2.8016
15,1209,3.3579
15,1254,3.6839
15,1284,3.3426
15,1361,3.3874
15,1479,2.2665
15,1753,2.4228
15,1955,3.4458
15,2020,2.8567
15,2064,3.5465
15,2313,3.2968
15,2528,2.6321
15,2915,2.5751
15,2990,2.7150
15,2993,2.7812
15,3007,3.5851
15,3107,2.6612
15,3168,2.8651
15,3256,2.7813
15,3265,2.8073
15,3275,3.4625
15,3633,3.0426
15,3635,2.8645
15,3638,2.7516
15,3639,3.0009
15,3984,2.7787
15,4005,2.6191
15,4085,2.9297
15,4149,2.2538
15,4247,2.2756
15,4299,3.0078
15,4322,3.0640
15,4351,2.6159
15,4489,2.9662
15,4719,3.1327
15,4974,2.4559
15,5120,2.8362
15,5298,2.9654
15,5339,3.0416
15,5391,3.2781
15,5903,3.3883
15,6934,2.5905
15,6947,2.9122
15,6989,2.8683
15,7003,3.0674
15,7004,2.4129
15,7123,3.3817
15,7484,3.0858
15,7569,3.0020
15,7573,2.6539
15,7698,3.4186
15,7792,2.7907
15,8581,2.9846
15,8641,2.9513
15,8807,3.0332
15,8950,3.1016
15,8972,2.8766
15,8974,2.6450
15,27478,2.9221
15,27821,2.7677
15,27904,2.7960
15,31685,2.8086
15,33154,2.9355
15,34048,2.5328
15,34072,3.3080
15,34319,2.7963
15,34334,2.2279
15,34405,3.0713
15,38886,2.5838
15,42718,2.9291
15,44761,2.7682
15,45186,2.3817
15,45499,3.0152
15,45666,2.3317
15,46530,2.6693
15,46578,3.4718
15,46723,3.4492
15,46972,2.6788
15,48082,3.0873
15,48394,3.2131
15,49278,2.9049
15,51662,2.9637
15,52245,2.4310
15,52328,2.9105
15,52722,2.9822
15,52973,2.7940
15,53894,2.5384
15,53972,3.0695
15,54503,3.0690
15,54881,3.3323
15,55269,2.8230
15,55765,2.9632
15,55820,3.3472
15,56367,3.3944
15,57669,3.4033
