1,6395,2.2390
1,54771,2.2390
1,74685,2.2390
1,4326,2.2381
1,4262,2.2371
1,5198,2.2334
1,1037,2.2330
1,1320,2.2330
1,2364,2.2330
1,2722,2.2330
1,4552,2.2330
1,8810,2.2330
1,55232,2.2330
1,86835,2.2330
1,91660,2.2330
1,292,2.2215
1,3032,2.2215
1,5046,2.2215
1,5944,2.2215
1,6264,2.2215
1,56921,2.2215
1,58297,2.2215
1,72378,2.2215
1,88744,2.2215
1,60471,2.2204
1,7360,2.2187
1,73268,2.2187
1,519,2.2182
1,315,2.2177
1,786,2.2177
3,1873,3.5371
3,389,3.5368
3,920,3.5368
3,1183,3.5368
3,1944,3.5368
3,2067,3.5368
3,2919,3.5368
3,3117,3.5368
3,3414,3.5368
3,3854,3.5368
3,3992,3.5368
3,4194,3.5368
3,4337,3.5368
3,4727,3.5368
3,5373,3.5368
3,5799,3.5368
3,5825,3.5368
3,7162,3.5368
3,7809,3.5368
3,8197,3.5368
3,32844,3.5368
3,72479,3.5368
3,74688,3.5368
3,26791,3.5274
3,41,3.5217
3,73,3.5217
3,214,3.5217
3,336,3.5217
3,527,3.5217
3,632,3.5217
4,1023,4.5410
4,1024,4.5410
4,1489,4.5410
4,2096,4.5410
4,3759,4.5410
4,3775,4.5410
4,5629,4.5410
4,6414,4.5410
4,31193,4.5410
4,91488,4.5410
4,1029,4.5334
4,2394,4.5324
4,3725,4.5324
4,78122,4.5324
4,551,4.5307
4,596,4.5307
4,1025,4.5307
4,1282,4.5307
4,2087,4.5307
4,2084,4.5266
4,4039,4.5266
4,4188,4.5266
4,594,4.5257
4,1022,4.5164
4,72737,4.5164
4,2017,4.5156
4,4294,4.5156
4,74089,4.5156
4,74630,4.5156
4,48,4.5147
5,899,3.9284
5,907,3.9284
5,945,3.9284
5,1057,3.9284
5,1066,3.9284
5,1067,3.9284
5,1081,3.9284
5,1380,3.9284
5,1381,3.9284
5,2874,3.9284
5,3549,3.9284
5,3602,3.9284
5,3606,3.9284
5,3675,3.9284
5,4356,3.9284
5,5106,3.9284
5,5168,3.9284
5,6183,3.9284
5,6357,3.9284
5,6358,3.9284
5,6732,3.9284
5,6739,3.9284
5,7050,3.9284
5,7055,3.9284
5,7132,3.9284
5,8263,3.9284
5,25965,3.9284
5,26680,3.9284
5,26775,3.9284
5,31694,3.9284
6,5952,3.3908
6,7153,3.3293
6,4993,3.3139
6,2147,3.2928
6,59387,3.2928
6,83480,3.2928
6,137857,3.2928
6,47384,3.2664
6,155,3.2610
6,340,3.2610
6,1204,3.2610
6,1619,3.2610
6,6458,3.2610
6,6947,3.2610
6,2140,3.2572
6,2872,3.2572
6,3807,3.2572
6,5816,3.2572
6,6743,3.2572
6,26164,3.2572
6,65685,3.2572
6,71404,3.2572
6,74530,3.2572
6,118696,3.2572
6,53,3.2436
6,1027,3.2436
6,1085,3.2436
6,1303,3.2436
6,1419,3.2436
6,1615,3.2436
8,4212,3.9899
8,4469,3.9899
8,4969,3.9899
8,47728,3.9899
8,69945,3.9899
8,1086,3.9644
8,1092,3.9644
8,1661,3.9644
8,2579,3.9644
8,4177,3.9644
8,4506,3.9644
8,4768,3.9644
8,5630,3.9644
8,8404,3.9644
8,8879,3.9644
8,26342,3.9644
8,102903,3.9644
8,158238,3.9644
8,2371,3.9533
8,3721,3.9533
8,5110,3.9533
8,7073,3.9533
8,7832,3.9533
8,7833,3.9533
8,41912,3.9533
8,66596,3.9533
8,79299,3.9533
8,2413,3.9417
8,4610,3.9417
8,4898,3.9417
