userId,movieId,rating
3,60,3.0
3,110,4.0
3,247,3.5
3,267,3.0
3,296,4.5
3,318,5.0
3,355,2.5
3,356,5.0
3,377,2.5
3,527,3.0
3,588,3.0
3,592,3.0
3,593,3.0
3,595,2.0
3,736,3.5
3,778,4.0
3,866,3.0
3,1197,5.0
3,1210,3.0
3,1235,4.0
3,1271,3.0
3,1378,4.0
3,1580,3.5
3,1721,4.5
3,1884,4.0
3,2028,4.0
3,2318,4.0
3,2513,3.0
3,2694,3.0
3,2702,3.5
3,2716,3.0
3,2762,3.5
3,2841,4.0
3,2858,4.0
3,2959,5.0
3,3243,3.0
3,3510,4.0
3,3949,5.0
3,5349,3.0
3,5669,3.5
3,6377,3.0
3,7153,2.5
3,7361,3.0
3,8622,3.5
3,8636,3.0
3,27369,3.5
3,44191,3.5
3,48783,4.5
3,50068,4.5
3,58559,3.0
3,84236,4.0
13,1,5.0
13,47,2.5
13,110,4.0
13,277,4.0
13,296,3.5
13,318,4.5
13,356,5.0
13,362,4.5
13,480,3.0
13,524,3.5
13,527,4.0
13,531,4.0
13,587,3.0
13,590,4.0
13,914,4.0
13,919,3.5
13,1027,3.0
13,1259,4.0
13,1265,2.5
13,1918,3.0
13,1961,4.0
13,2355,4.0
13,2571,3.0
13,2572,3.5
13,2761,4.0
13,2762,3.0
13,2804,3.0
13,2908,3.0
13,2918,3.0
13,3114,3.0
13,3147,4.0
13,3255,3.5
13,3396,3.5
13,3624,3.0
13,4306,4.0
13,4310,4.5
13,4321,2.5
13,4718,3.5
13,4878,4.5
13,4886,3.5
13,4993,4.5
13,5989,4.0
13,6377,4.5
13,7361,4.0
13,7502,4.5
13,54286,3.5
13,58559,4.5
13,64614,4.5
13,69757,4.0
13,78499,4.0
13,81834,4.5
13,88125,4.5
13,93363,3.0
15,216,1.0
15,367,2.0
15,556,3.5
15,1047,2.5
15,1131,2.5
15,1147,3.5
15,1189,3.5
15,1201,3.5
15,1209,4.5
15,1254,3.5
15,1284,3.0
15,1361,3.5
15,1479,1.5
15,1753,1.0
15,1955,4.5
15,2020,2.5
15,2064,4.5
15,2313,3.5
15,2528,2.0
15,2915,1.5
15,2990,3.5
15,2993,4.0
15,3007,2.5
15,3107,3.0
15,3168,2.5
15,3256,2.0
15,3265,4.0
15,3275,0.5
15,3633,4.0
15,3635,3.5
15,3638,3.5
15,3639,2.0
15,3984,4.0
15,4005,3.5
15,4085,3.0
15,4149,1.0
15,4247,1.0
15,4299,2.5
15,4322,4.0
15,4351,3.0
15,4489,4.5
15,4719,2.0
15,4974,2.0
15,5120,3.0
15,5298,2.5
15,5339,3.5
15,5391,2.5
15,5903,2.0
15,6934,1.5
15,6947,1.0
15,6989,2.5
15,7003,2.0
15,7004,2.5
15,7123,3.5
15,7484,4.0
15,7569,3.5
15,7573,2.5
15,7698,3.0
15,7792,2.5
15,8581,2.5
15,8641,3.0
15,8807,2.5
15,8950,2.0
15,8972,3.5
15,8974,2.5
15,27478,2.5
15,27821,1.0
15,27904,2.5
15,31685,0.5
15,33154,3.5
15,34048,0.5
15,34072,1.5
15,34319,1.0
15,34334,1.5
15,34405,0.5
15,38886,1.5
15,42718,4.5
15,44597,2.5
15,44761,1.5
15,45186,2.5
15,45499,2.5
15,45666,4.0
15,46530,0.5
15,46578,1.0
15,46723,2.0
15,46972,3.5
15,48082,1.0
15,48394,1.5
15,49278,2.5
15,51662,2.0
15,52245,1.5
15,52328,1.5
15,52722,1.5
15,52973,3.5
15,53894,2.5
15,53972,3.0
15,54503,3.5
15,54881,4.5
15,55269,1.0
15,55765,2.0
15,55820,2.0
15,56367,2.0
15,57669,1.5
15,58025,1.0
15,58295,1.5
15,59369,2.5
15,59615,1.0
15,59784,3.5
15,59900,1.5
15,60072,1.0
15,60126,1.0
15,60295,3.5
15,61024,1.0
15,61394,2.0
15,62374,3.5
15,62511,4.5
15,63082,0.5
15,63131,2.0
15,63859,3.0
15,65642,4.5
15,66934,0.5
15,67734,1.5
15,67997,4.0
15,68157,3.0
15,68237,3.5
15,68319,2.0
15,68791,4.0
15,68793,3.0
15,68954,2.0
15,69122,1.0
15,69306,2.0
15,69406,1.0
15,69481,4.5
15,70336,4.5
15,70697,2.5
15,72011,2.5
15,72226,1.5
15,72378,1.0
15,73344,3.5
15,74458,0.5
15,74649,4.0
15,74795,1.5
15,74851,0.5
15,76293,3.0
15,76738,2.5
15,77364,2.5
15,77455,4.0
15,77561,1.0
15,78469,3.0
15,78499,2.0
15,79057,2.5
15,79132,5.0
15,79293,1.5
15,79428,1.0
15,79695,0.5
15,79702,1.5
15,80185,3.0
15,80463,2.0
15,80489,4.0
15,80906,4.0
15,81158,3.0
15,81191,3.0
15,81229,3.5
15,81591,1.0
15,81782,3.0
15,81845,3.0
15,81847,1.0
15,81932,3.0
15,82461,3.0
15,83270,1.0
15,83293,3.5
15,83349,1.0
15,83613,0.5
15,84152,3.0
15,84392,2.5
15,84954,1.0
15,85414,4.0
15,85774,4.0
15,86190,1.5
15,86332,1.0
